10.75.0.0/24;10.32.1.26,10.29.79.65
10.75.1.0/24;10.32.2.21,10.29.79.65
10.74.84.0/24;10.74.66.23,10.29.79.65
10.75.190.128/25;10.74.66.23,10.29.79.65
10.74.101.0/24;10.74.106.26,10.29.79.65
10.74.88.0/24;10.74.68.21,10.29.79.65
10.75.2.0/23;10.32.3.21,10.29.79.65
10.75.7.0/24;10.32.4.21,10.29.79.65
10.75.10.0/24;10.32.6.27,10.29.79.65
10.74.80.0/24;10.74.64.21,10.29.79.65
10.74.102.0/24;10.74.64.21,10.29.79.65
10.74.99.0/24;10.74.105.27,10.29.79.65
10.75.8.0/23;10.32.5.21,10.29.79.65
10.74.90.0/24;10.74.70.23,10.29.79.65
10.75.16.0/23;10.32.7.26,10.29.79.65
10.75.20.0/24;10.32.8.23,10.29.79.65
10.75.24.0/23;10.32.10.23,10.29.79.65
10.75.28.0/23;10.32.9.21,10.29.79.65
